place	room	price_pax	total_price	bed	bath	sqft_pax	total_sqft	rating	built	property_units	property_stories	walkscore	transitscore	distance	dist	features	laundry	furnished	internet	ac	balcony	dishwasher	patio	hardwood	tile	intercom	granite	accessible	ice	long	lat	bed_count	address
Kelton Towers Apartments	ONE BEDROOM/ONE BATH	2600	2600	1 bed	1 bath	700	700	4.9	1974.0	105	4.0	41	63	0.7	0.5408854131271452	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Eat-in Kitchen, Kitchen, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	True	True	False	True	False	False	-118.453690969519	34.0679614138655	1	515 Kelton Ave, Los Angeles, CA 90024
Kelton Towers Apartments	TWO BEDROOM, ONE & HALF BATH	1875	3750	2 beds	1.5 baths	500	1000	4.9	1974.0	105	4.0	41	63	0.7	0.5408854131271452	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Eat-in Kitchen, Kitchen, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	True	True	False	True	False	False	-118.453690969519	34.0679614138655	2	515 Kelton Ave, Los Angeles, CA 90024
Kelton Towers Apartments	TWO BEDROOM/TWO BATH	1950	3900	2 beds	2 baths	600	1200	4.9	1974.0	105	4.0	41	63	0.7	0.5408854131271452	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Eat-in Kitchen, Kitchen, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	True	True	False	True	False	False	-118.453690969519	34.0679614138655	2	515 Kelton Ave, Los Angeles, CA 90024
Kelton Towers Apartments	LARGE 2BEDROOM/2BATHROOM REMODLED	2175	4350	2 beds	2 baths	600	1200	4.9	1974.0	105	4.0	41	63	0.7	0.5408854131271452	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Eat-in Kitchen, Kitchen, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	True	True	False	True	False	False	-118.453690969519	34.0679614138655	2	515 Kelton Ave, Los Angeles, CA 90024
1762 Kelton Ave	Three Bedroom	1833	5500	3 beds	2.5 baths	667	2000		1965.0	2		92	69	1.4	1.4665729654605864	, , , , Dishwasher, Stainless Steel Appliances, Pantry, Kitchen, Microwave, Oven, Refrigerator, Breakfast Nook, Hardwood Floors, Dining Room, Double Pane Windows, Wet Bar, Large Bedrooms, Balcony, Patio	False	False	False	False	True	True	True	True	False	False	False	False	False	-118.439771653061	34.0501471428571	3	1762 Kelton Ave, Los Angeles, CA 90024
1837 Midvale Ave	103	1900	3800	2 beds	2 baths	700	1400	5.0	1990.0	12	3.0	91	67	1.6	1.617026069064431	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Smoke Free, Cable Ready, Security System, Trash Compactor, Storage Space, Tub/Shower, Fireplace, Intercom, Sprinkler System, Dishwasher, Disposal, Granite Countertops, Pantry, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Gas Range, Hardwood Floors, Tile Floors, Vinyl Flooring, Dining Room, High Ceilings, Family Room, Den, Walk-In Closets, Linen Closet, Window Coverings, Large Bedrooms, Balcony, Patio	False	False	True	True	True	True	True	True	True	True	True	False	False	-118.437407853562	34.04838105	2	1837 Midvale Ave, Los Angeles, CA 90025
Armacost Manor	3 bedroom, 2.5 bathroom	1524	4572	3 beds	2.5 baths	559	1678	4.0	2008.0	29	3.0	93	63		2.1389267888322774	, High Speed Internet Access, Washer/Dryer, Washer/Dryer Hookup, Heating, Smoke Free, Security System, Storage Space, Fireplace, Dishwasher, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Hardwood Floors, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, Patio, , , , 	True	False	True	False	True	True	True	True	False	False	False	False	False	-118.461036408163	34.0429943469388	3	1446 Armacost Ave, Los Angeles, CA 90025
Armacost Manor	3 bedroom, 3 bathroom	1548	4645	3 beds	3 baths	471	1412	4.0	2008.0	29	3.0	93	63		2.1389267888322774	, High Speed Internet Access, Washer/Dryer, Washer/Dryer Hookup, Heating, Smoke Free, Security System, Storage Space, Fireplace, Dishwasher, Stainless Steel Appliances, Kitchen, Microwave, Refrigerator, Hardwood Floors, Vinyl Flooring, Walk-In Closets, Large Bedrooms, Balcony, Patio, , , , 	True	False	True	False	True	True	True	True	False	False	False	False	False	-118.461036408163	34.0429943469388	3	1446 Armacost Ave, Los Angeles, CA 90025
10630 Wilkins Ave	Unfurnished - 2 Bedroom 2 Bath	3438	6875	2 beds	2 baths	900	1800	5.0	1987.0	15	3.0	64	68	1.7	1.2162335858319078	, , , High Speed Internet Access, Washer/Dryer, Air Conditioning, Heating, Smoke Free, Security System, Double Vanities, Intercom, Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Vinyl Flooring, Dining Room, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Furnished, Double Pane Windows, Window Coverings, Wet Bar, Large Bedrooms, Balcony	True	True	True	True	True	True	False	False	False	True	False	False	True	-118.432481566246	34.056680922624	2	10630 Wilkins Ave, Los Angeles, CA 90024
10630 Wilkins Ave	Fully Furnished - 2 Bedroom 2 Bath	3812	7625	2 beds	2 baths	900	1800	5.0	1987.0	15	3.0	64	68	1.7	1.2162335858319078	, , , High Speed Internet Access, Washer/Dryer, Air Conditioning, Heating, Smoke Free, Security System, Double Vanities, Intercom, Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Vinyl Flooring, Dining Room, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Furnished, Double Pane Windows, Window Coverings, Wet Bar, Large Bedrooms, Balcony	True	True	True	True	True	True	False	False	False	True	False	False	True	-118.432481566246	34.056680922624	2	10630 Wilkins Ave, Los Angeles, CA 90024
